   ID | AIRCRAFT | TYPE                 | CATEGORIE       | SOUS-CAT     | CONF OCR  | CLASSIF | FICHIER
-------------------------------------------------------------------------------------------------------------------

========== TS-EAJ ==========
  877 | TS-EAJ   | ATL                  | ATL             | -            | ✅  67.9% |   0.65 | 0003441.pdf

========== TS-IKP ==========
   95 | TS-IKP   | ATL                  | ATL             | -            | ⚠️  52.1% |   1.00 | TL01JUL-31DEC2025.pdf

========== TS-INB ==========
  569 | TS-INB   | WORK_ORDER           | Check C         | -            | ✅  71.2% |   1.00 | ES 00218486.PDF
  611 | TS-INB   | WORK_ORDER           | Check C         | -            | ✅  61.5% |   1.00 | ES00218486.pdf
  728 | TS-INB   | WORK_ORDER           | Check C         | -            | ✅  85.4% |   1.00 | ES216923_MSN001597.pdf

========== TS-INC ==========
  615 | TS-INC   | WORK_ORDER           | Check C         | -            | ⚠️  58.7% |   1.00 | ES00218446.pdf
  183 | TS-INC   | JOBCARD              | Check A         | -            | ✅  72.6% |   1.00 | 020.pdf

========== TS-INN ==========
 1602 | TS-INN   | WORK_ORDER           | Check A         | Delivery Package | ✅  88.2% |   0.00 | APU P-3984 WKS approved.pdf

========== TS-INP ==========
  571 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  76.4% |   1.00 | ES00213365.pdf
  573 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  74.4% |   1.00 | ES00213366.pdf
  575 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  74.9% |   1.00 | ES00214417.pdf
  572 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  63.6% |   1.00 | ES00216326.pdf
  576 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  68.6% |   1.00 | ES00216594.pdf
  574 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.9% |   1.00 | ES00216963.pdf
  577 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.2% |   1.00 | ES00217058.pdf
  578 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.5% |   1.00 | ES00217061.pdf
  579 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  71.5% |   1.00 | ES00217063.pdf
  580 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  66.6% |   1.00 | ES00217065.pdf
  584 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.5% |   1.00 | ES00217066.pdf
  582 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.4% |   1.00 | ES00217067.pdf
  581 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.5% |   1.00 | ES00217068.pdf
  585 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.9% |   1.00 | ES00217069.pdf
  586 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  73.0% |   1.00 | ES00217070.pdf
  583 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  72.9% |   1.00 | ES00217071.pdf
  588 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  73.3% |   1.00 | ES00217072.pdf
  589 | TS-INP   | WORK_ORDER           | Check C         | -            | ✅  70.6% |   1.00 | ES00217073.pdf
