id,filename,true_type,pred_type,confidence,ocr_confidence,ocr_engine,path_correction_applied,error
1183,ZL-531-02-1-01.pdf,Work Order,Jobcard,0.8858,78.59,ocr_v5_tesseract,True,
133,226000-01-1-01.pdf,Work Order,Jobcard,0.9685,0.0,ocr_v5_none,True,
977,534107-01-1-02.pdf,Work Order,Jobcard,0.8942,77.61,ocr_v5_tesseract,True,
844,323000-19-1-1.pdf,Work Order,Jobcard,0.8712,86.59,ocr_v5_tesseract,True,
3192,779302 Mexicana Engine Serviceability Statement.pdf.pdf,Work Order,Other,0.8833,0.0,ocr_v5_none,False,
3215,779302 Snecma Inspection Release Note.pdf,Work Order,Work Order,0.9012,80.45,ocr_v5_tesseract,True,
1899,TS-INP_Check C_ES001392_WorkOrder_ES00217162.pdf,Work Order,Work Order,0.9351,68.51,ocr_v5_tesseract,True,
3006,697519 SRT UK Engine APU In Transit Document.pdf,Work Order,Work Order,0.9387,0.0,ocr_v5_none,True,
1055,572164-01-1-01.pdf,Work Order,Jobcard,0.8881,79.45,ocr_v5_tesseract,True,
1035,562101-01-1-08.pdf,Work Order,Jobcard,0.8709,81.21,ocr_v5_tesseract,True,
1882,TS-INP_Check C_ES001392_WorkOrder_ES00217073.pdf,Work Order,Work Order,0.9265,64.56,ocr_v5_tesseract,True,
1496,TS-INP_Check C_ES001392_Defect Report_74.pdf,Work Order,Other,0.8509,83.88,ocr_v5_tesseract,False,
2899,TS-INQ_Old doc_Engines_APU_APU change from APS3200 to 131-9A_List ECB Store_DOC110315-004.pdf,Work Order,Other,0.6063,0.0,ocr_v5_none,False,
44,250001-LBT2-01.pdf,Work Order,Jobcard,0.945,86.17,ocr_v5_tesseract,True,
595,ES164502-26052016092621.pdf,Work Order,Work Order,0.9611,71.1,ocr_v5_tesseract,True,
2026,TS-INP_Check C_ES001392_WorkOrder_ES216964_MSN001597.pdf,Work Order,Work Order,0.9399,65.33,ocr_v5_tesseract,True,
982,534143-01-3-01.pdf,Work Order,Jobcard,0.8739,73.86,ocr_v5_tesseract,True,
103,ZL-731-01-1-01.pdf,Work Order,Jobcard,0.9675,0.0,ocr_v5_none,True,
1092,792000-C4-2-01.pdf,Work Order,Jobcard,0.896,81.59,ocr_v5_tesseract,True,
1894,TS-INP_Check C_ES001392_WorkOrder_ES00217082.pdf,Work Order,Work Order,0.9439,62.15,ocr_v5_tesseract,True,
849,323300-03-1-01.pdf,Work Order,Jobcard,0.8798,77.97,ocr_v5_tesseract,True,
2545,TS-INQ_Old doc_C Check Pullouts_LH Eng ~ OB Fan Cowl Damage.pdf,Work Order,Other,0.834,76.68,ocr_v5_tesseract,False,
1156,ZL-411-01-3-03.pdf,Work Order,Jobcard,0.8904,77.7,ocr_v5_tesseract,True,
1223,ES140361.pdf,Work Order,Work Order,0.97,66.61,ocr_v5_tesseract,True,
4021,wo-ES001190.pdf,Work Order,Work Order,0.962,0.0,ocr_v5_none,True,
371,323100-01-1-01.pdf,Work Order,Jobcard,0.9655,0.0,ocr_v5_none,True,
3707,TS-INQ_Old doc_Mods_CDSS ST01432LA_Drawings_AW233060030 REV C-C1.pdf,Work Order,Other,0.5592,80.71,ocr_v5_tesseract,False,
4004,ES156810-26012016094155.pdf,Work Order,Work Order,0.9452,73.9,ocr_v5_tesseract,True,
3678,TS-INQ_Old doc_LOPA_Nouvelair A320logo rev7[1]_d11110990-01-A00.pdf,Work Order,Other,0.9503,0.0,ocr_v5_none,False,
562,RE013899-26052016092759.pdf,Work Order,Other,0.9546,63.62,ocr_v5_tesseract,False,
1677,TS-INP_Check C_ES001392_JobCard_379.pdf,Jobcard,Jobcard,0.5998,74.18,ocr_v5_tesseract,True,
1375,TS-INP_Check A_ES001778_Jobcard_0113.pdf,Jobcard,Jobcard,0.5952,75.71,ocr_v5_tesseract,True,
1618,TS-INP_Check C_ES001392_JobCard_317.pdf,Jobcard,Jobcard,0.472,80.66,ocr_v5_tesseract,True,
1734,TS-INP_Check C_ES001392_JobCard_651.pdf,Jobcard,Jobcard,0.8014,73.21,ocr_v5_tesseract,True,
1799,TS-INP_Check C_ES001392_JobCard_731.pdf,Jobcard,Jobcard,0.7545,70.56,ocr_v5_tesseract,True,
1796,TS-INP_Check C_ES001392_JobCard_728.pdf,Jobcard,Jobcard,0.7893,67.46,ocr_v5_tesseract,True,
1329,TS-INP_Check A_ES001778_Jobcard_0059.pdf,Jobcard,Jobcard,0.4175,70.78,ocr_v5_tesseract,True,
1812,TS-INP_Check C_ES001392_JobCard_744.pdf,Jobcard,Jobcard,0.4365,78.27,ocr_v5_tesseract,True,
3258,TS-INQ_Old doc_Engines_Lease Engines_779302_779302 MPD Tasks & Supporting Documents_779302 MPD Task 712212-01-3.pdf,Jobcard,Jobcard,0.3534,84.11,ocr_v5_tesseract,True,
1676,TS-INP_Check C_ES001392_JobCard_380.pdf,Jobcard,Jobcard,0.6386,72.37,ocr_v5_tesseract,True,
1628,TS-INP_Check C_ES001392_JobCard_324.pdf,Jobcard,Jobcard,0.5478,71.72,ocr_v5_tesseract,True,
3478,16-BORESCOPEREPORTAFTERTESTRUN.pdf,Jobcard,Other,0.4932,95.0,ocr_v5_pdfplumber,False,
1736,TS-INP_Check C_ES001392_JobCard_656.pdf,Jobcard,Jobcard,0.503,73.15,ocr_v5_tesseract,True,
1653,TS-INP_Check C_ES001392_JobCard_352.pdf,Jobcard,Jobcard,0.5012,74.61,ocr_v5_tesseract,True,
1567,TS-INP_Check C_ES001392_JobCard_256.pdf,Jobcard,Jobcard,0.8161,66.22,ocr_v5_tesseract,True,
1605,TS-INP_Check C_ES001392_JobCard_302.pdf,Jobcard,Jobcard,0.4936,74.53,ocr_v5_tesseract,True,
